Rk,Pk,Tm,Round 1_Player,Round 1_College,Yrs,Totals_G,Totals_MP,Totals_PTS,Totals_TRB,Totals_AST,Shooting_FG%,Shooting_3P%,Shooting_FT%,Per Game_MP,Per Game_PTS,Per Game_TRB,Per Game_AST,Advanced_WS,Advanced_WS/48,Advanced_BPM,Advanced_VORP,draft_year
24,24,DAL,Byron Mullens,Ohio State,5,189,3446,1398,790,153,.408,.319,.706,18.2,7.4,4.2,0.8,0.6,.008,-4.0,-1.8,2009
25,25,OKC,Rodrigue Beaubois,,4,182,2896,1286,338,374,.439,.325,.810,15.9,7.1,1.9,2.1,4.8,.079,-0.1,1.4,2009
26,26,CHI,Taj Gibson,USC,17,1012,23166,8431,5754,952,.517,.272,.713,22.9,8.3,5.7,0.9,60.5,.125,-0.9,6.5,2009
27,27,MEM,DeMarre Carroll,Missouri,11,578,13675,5150,2454,726,.430,.358,.741,23.7,8.9,4.2,1.3,29.5,.104,0.0,6.7,2009
28,28,MIN,Wayne Ellington,UNC,13,770,16100,6190,1643,852,.410,.382,.843,20.9,8.0,2.1,1.1,21.1,.063,-1.5,2.2,2009
29,29,LAL,Toney Douglas,Florida State,8,394,7511,3009,875,889,.404,.354,.824,19.1,7.6,2.2,2.3,12.1,.077,-0.8,2.2,2009
30,30,CLE,Christian Eyenga,,2,51,1049,320,137,40,.411,.277,.611,20.6,6.3,2.7,0.8,-0.4,-.020,-4.2,-0.6,2009
,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,2009
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,2009
31,31,SAC,Jeff Ayres,Arizona State,6,237,2322,690,632,99,.553,.400,.776,9.8,2.9,2.7,0.4,6.3,.131,-2.3,-0.2,2009
32,32,WAS,Jermaine Taylor,Central Florida,2,65,786,351,108,48,.441,.284,.730,12.1,5.4,1.7,0.7,0.2,.014,-3.7,-0.3,2009
33,33,POR,Dante Cunningham,Villanova,10,715,14875,4133,2676,506,.469,.345,.649,20.8,5.8,3.7,0.7,24.9,.080,-1.7,1.1,2009
34,34,DEN,Sergio Llull,,,,,,,,,,,,,,,,,,,2009
35,35,DET,DaJuan Summers,Georgetown,4,83,820,278,82,29,.384,.367,.642,9.9,3.3,1.0,0.3,-0.1,-.008,-5.8,-0.8,2009
36,36,MEM,Sam Young,Pitt,4,249,3966,1436,573,180,.442,.280,.742,15.9,5.8,2.3,0.7,5.2,.063,-2.1,-0.1,2009
37,37,SAS,DeJuan Blair,Pitt,7,424,7054,2865,2153,349,.524,.000,.608,16.6,6.8,5.1,0.8,19.0,.129,-1.2,1.4,2009
38,38,POR,Jon Brockman,Washington,3,150,1570,320,472,49,.488,.000,.618,10.5,2.1,3.1,0.3,3.7,.113,-3.9,-0.8,2009
39,39,DET,Jonas Jerebko,,9,635,11323,3919,2522,525,.457,.363,.770,17.8,6.2,4.0,0.8,25.8,.109,-1.0,2.9,2009
40,40,CHA,Derrick Brown,Xavier,3,171,2554,895,413,119,.515,.317,.637,14.9,5.2,2.4,0.7,4.5,.085,-1.3,0.4,2009
41,41,MIL,Jodie Meeks,Kentucky,10,539,12110,4988,1120,583,.420,.373,.879,22.5,9.3,2.1,1.1,24.3,.096,-0.6,4.2,2009
42,42,LAL,Patrick Beverley,Arkansas,12,666,17689,5520,2729,2245,.413,.371,.760,26.6,8.3,4.1,3.4,40.2,.109,0.7,12.1,2009
43,43,MIA,Marcus Thornton,LSU,8,483,11299,5750,1348,677,.425,.358,.830,23.4,11.9,2.8,1.4,20.0,.085,0.2,6.2,2009
44,44,DET,Chase Budinger,Arizona,7,407,7998,3198,1240,473,.430,.352,.797,19.7,7.9,3.0,1.2,13.9,.083,-0.5,2.9,2009
45,45,MIN,Nick Calathes,Florida,2,129,2011,590,243,353,.441,.288,.581,15.6,4.6,1.9,2.7,2.6,.063,-0.5,0.8,2009
46,46,CLE,Danny Green,UNC,15,832,20899,7204,2827,1277,.421,.400,.805,25.1,8.7,3.4,1.5,49.3,.113,1.8,20.2,2009
47,47,MIN,Henk Norel,,,,,,,,,,,,,,,,,,,2009
48,48,PHO,Taylor Griffin,Oklahoma,1,8,32,10,2,1,.400,.000,.500,4.0,1.3,0.3,0.1,0.0,-.039,-8.1,-0.1,2009
49,49,ATL,Sergiy Gladyr,,,,,,,,,,,,,,,,,,,2009
50,50,UTA,Goran Suton,Michigan State,,,,,,,,,,,,,,,,,,2009
51,51,SAS,Jack McClinton,Miami (FL),,,,,,,,,,,,,,,,,,2009
52,52,IND,A.J. Price,UConn,6,261,3929,1523,377,567,.380,.316,.742,15.1,5.8,1.4,2.2,4.7,.058,-1.3,0.7,2009
53,53,SAS,Nando De Colo,,2,119,1414,453,211,203,.429,.363,.835,11.9,3.8,1.8,1.7,2.4,.081,-0.7,0.5,2009
54,54,CHA,Robert Vaden,UAB,,,,,,,,,,,,,,,,,,2009
55,55,POR,Patty Mills,Saint Mary's,16,921,18316,8004,1491,2010,.423,.385,.857,19.9,8.7,1.6,2.2,35.9,.094,-0.2,8.5,2009
56,56,DAL,Ahmad Nivins,Saint Joseph's,,,,,,,,,,,,,,,,,,2009
57,57,PHO,Emir Preldžić,,,,,,,,,,,,,,,,,,,2009
58,58,BOS,Lester Hudson,University of Tennessee at Martin,4,57,594,268,77,71,.375,.277,.806,10.4,4.7,1.4,1.2,0.2,.016,-2.1,0.0,2009
59,59,LAL,Chinemelu Elonu,Texas A&M,,,,,,,,,,,,,,,,,,2009
60,60,MIA,Robert Dozier,Memphis,,,,,,,,,,,,,,,,,,2009
1,1,WAS,John Wall,Kentucky,11,647,22588,12088,2704,5735,.430,.322,.776,34.9,18.7,4.2,8.9,44.5,.094,2.2,24.1,2010
2,2,PHI,Evan Turner,Ohio State,10,705,18938,6824,3278,2462,.434,.294,.782,26.9,9.7,4.6,3.5,20.2,.051,-1.9,0.5,2010
3,3,NJN,Derrick Favors,Georgia Tech,12,790,19202,8354,5608,851,.534,.198,.663,24.3,10.6,7.1,1.1,60.2,.150,0.9,14.0,2010
4,4,MIN,Wesley Johnson,Syracuse,9,609,13472,4235,1924,645,.404,.337,.741,22.1,7.0,3.2,1.1,10.7,.038,-1.6,1.2,2010
5,5,SAC,DeMarcus Cousins,Kentucky,11,654,19508,12802,6664,1979,.460,.331,.737,29.8,19.6,10.2,3.0,46.8,.115,2.4,21.6,2010
6,6,GSW,Ekpe Udoh,Baylor,7,384,5694,1353,1100,260,.453,.000,.718,14.8,3.5,2.9,0.7,10.4,.088,-1.4,0.8,2010
7,7,DET,Greg Monroe,Georgetown,10,646,17670,8402,5293,1376,.514,.059,.703,27.4,13.0,8.2,2.1,50.4,.137,1.4,15.3,2010
8,8,LAC,Al-Farouq Aminu,Wake Forest,11,711,17698,5350,4280,879,.420,.332,.746,24.9,7.5,6.0,1.2,27.6,.075,-0.6,6.5,2010
9,9,UTA,Gordon Hayward,Butler,14,835,25654,12687,3698,2940,.455,.370,.822,30.7,15.2,4.4,3.5,63.5,.119,1.6,23.0,2010
10,10,IND,Paul George,Fresno State,16,945,31651,19338,5880,3502,.440,.384,.852,33.5,20.5,6.2,3.7,92.0,.140,3.7,45.2,2010
11,11,NOH,Cole Aldrich,Kansas,8,339,3389,1050,1131,183,.527,,.738,10.0,3.1,3.3,0.5,9.6,.135,0.1,1.8,2010
12,12,MEM,Xavier Henry,Kansas,5,185,2905,1050,351,120,.406,.325,.635,15.7,5.7,1.9,0.6,0.8,.013,-4.4,-1.7,2010
13,13,TOR,Ed Davis,UNC,12,722,13756,4291,4616,539,.567,.000,.583,19.1,5.9,6.4,0.7,43.3,.151,-0.2,6.2,2010
14,14,HOU,Patrick Patterson,Kentucky,11,719,14923,4782,2799,736,.447,.369,.755,20.8,6.7,3.9,1.0,31.9,.102,0.0,7.4,2010
