Rk,Pk,Tm,Round 1_Player,Round 1_College,Yrs,Totals_G,Totals_MP,Totals_PTS,Totals_TRB,Totals_AST,Shooting_FG%,Shooting_3P%,Shooting_FT%,Per Game_MP,Per Game_PTS,Per Game_TRB,Per Game_AST,Advanced_WS,Advanced_WS/48,Advanced_BPM,Advanced_VORP,draft_year
38,38,HOU,Chandler Parsons,Florida,9,440,13246,5571,1972,1201,.462,.373,.713,30.1,12.7,4.5,2.7,28.9,.105,1.1,10.2,2011
39,39,CHA,Jeremy Tyler,,3,104,1034,373,269,25,.450,.000,.557,9.9,3.6,2.6,0.2,0.3,.014,-7.0,-1.3,2011
40,40,MIL,Jon Leuer,Wisconsin,8,377,5945,2395,1426,301,.484,.328,.767,15.8,6.4,3.8,0.8,13.2,.107,-0.7,2.0,2011
41,41,LAL,Darius Morris,Michigan,4,132,1464,430,126,189,.384,.322,.630,11.1,3.3,1.0,1.4,-0.3,-.010,-5.1,-1.2,2011
42,42,IND,Dāvis Bertāns,,8,475,8545,3661,1159,448,.422,.396,.863,18.0,7.7,2.4,0.9,18.6,.105,0.2,4.7,2011
43,43,CHI,Malcolm Lee,UCLA,3,36,534,140,65,51,.382,.294,.703,14.8,3.9,1.8,1.4,0.4,.040,-2.5,-0.1,2011
44,44,GSW,Charles Jenkins,Hofstra,2,110,1334,408,100,214,.434,.182,.754,12.1,3.7,0.9,1.9,0.5,.017,-4.5,-0.8,2011
45,45,NOH,Josh Harrellson,Kentucky,3,75,888,265,227,26,.438,.347,.629,11.8,3.5,3.0,0.3,2.1,.116,-0.4,0.4,2011
46,46,LAL,Andrew Goudelock,College of Charleston,3,49,475,197,34,24,.393,.345,.875,9.7,4.0,0.7,0.5,0.0,.003,-5.0,-0.3,2011
47,47,LAC,Travis Leslie,Georgia,1,10,45,14,9,5,.357,,.444,4.5,1.4,0.9,0.5,0.1,.060,-0.3,0.0,2011
48,48,ATL,Keith Benson,Oakland,1,3,9,0,3,0,.000,,,3.0,0.0,1.0,0.0,0.0,-.005,-7.7,0.0,2011
49,49,MEM,Josh Selby,Kansas,2,38,296,83,20,34,.330,.143,.720,7.8,2.2,0.5,0.9,-0.7,-.113,-9.5,-0.6,2011
50,50,PHI,Lavoy Allen,Temple,6,388,6905,1847,1843,384,.471,.133,.682,17.8,4.8,4.8,1.0,13.8,.096,-2.1,-0.1,2011
51,51,POR,Jon Diebler,Ohio State,,,,,,,,,,,,,,,,,,2011
52,52,DET,Vernon Macklin,Florida,1,23,135,46,34,5,.543,,.571,5.9,2.0,1.5,0.2,0.5,.161,1.2,0.1,2011
53,53,ORL,DeAndre Liggins,Kentucky,5,177,1907,346,252,122,.402,.352,.549,10.8,2.0,1.4,0.7,1.6,.040,-2.2,-0.1,2011
54,54,CLE,Milan Mačvan,,,,,,,,,,,,,,,,,,,2011
55,55,BOS,E'Twaun Moore,Purdue,10,598,12564,4743,1208,1055,.455,.388,.742,21.0,7.9,2.0,1.8,14.8,.057,-1.9,0.2,2011
56,56,LAL,Chukwudiebere Maduabum,,,,,,,,,,,,,,,,,,,2011
57,57,DAL,Tanguy Ngombo,,,,,,,,,,,,,,,,,,,2011
58,58,LAL,Ater Majok,,,,,,,,,,,,,,,,,,,2011
59,59,SAS,Ádám Hanga,,,,,,,,,,,,,,,,,,,2011
60,60,SAC,Isaiah Thomas,Washington,12,556,15582,9723,1321,2641,.434,.363,.872,28.0,17.5,2.4,4.8,45.3,.140,2.1,16.1,2011
1,1,NOH,Anthony Davis,Kentucky,14,807,27741,19385,8637,2065,.522,.295,.793,34.4,24.0,10.7,2.6,120.1,.208,5.8,54.9,2012
2,2,CHA,Michael Kidd-Gilchrist,Kentucky,8,446,10978,3750,2420,515,.474,.272,.715,24.6,8.4,5.4,1.2,21.0,.092,-1.8,0.6,2012
3,3,WAS,Bradley Beal,Florida,14,807,27681,17306,3251,3442,.464,.376,.821,34.3,21.4,4.0,4.3,58.4,.101,1.4,23.7,2012
4,4,CLE,Dion Waiters,Syracuse,8,419,11835,5505,1108,1163,.412,.346,.694,28.2,13.1,2.6,2.8,8.8,.036,-2.1,-0.4,2012
5,5,SAC,Thomas Robinson,Kansas,5,313,4204,1528,1507,190,.470,.000,.505,13.4,4.9,4.8,0.6,4.6,.053,-3.5,-1.6,2012
6,6,POR,Damian Lillard,Weber State,13,900,32614,22598,3845,6069,.439,.371,.899,36.2,25.1,4.3,6.7,118.4,.174,4.6,54.5,2012
7,7,GSW,Harrison Barnes,UNC,14,1070,33015,14572,4955,1887,.460,.385,.811,30.9,13.6,4.6,1.8,66.4,.097,-0.8,10.0,2012
8,8,TOR,Terrence Ross,Washington,11,733,17956,8047,2061,936,.418,.362,.837,24.5,11.0,2.8,1.3,25.0,.067,-1.0,4.5,2012
9,9,DET,Andre Drummond,UConn,14,967,25451,11696,11513,1187,.539,.217,.489,26.3,12.1,11.9,1.2,80.0,.151,1.0,18.9,2012
10,10,NOH,Austin Rivers,Duke,11,707,16858,5996,1442,1513,.419,.349,.653,23.8,8.5,2.0,2.1,15.2,.043,-3.1,-4.5,2012
11,11,POR,Meyers Leonard,Illinois,10,456,7272,2545,1771,396,.482,.390,.812,15.9,5.6,3.9,0.9,15.8,.104,-1.5,1.0,2012
12,12,HOU,Jeremy Lamb,UConn,10,573,11896,5805,2073,904,.439,.342,.857,20.8,10.1,3.6,1.6,26.8,.108,0.6,7.9,2012
13,13,PHO,Kendall Marshall,UNC,4,160,3083,802,253,779,.399,.370,.611,19.3,5.0,1.6,4.9,1.0,.015,-3.5,-1.1,2012
14,14,MIL,John Henson,UNC,8,445,8752,3383,2368,496,.540,.250,.568,19.7,7.6,5.3,1.1,20.7,.113,-0.5,3.4,2012
15,15,PHI,Maurice Harkless,St. John's,10,621,14019,4259,2198,572,.474,.320,.624,22.6,6.9,3.5,0.9,23.0,.079,-0.8,4.1,2012
16,16,HOU,Royce White,Iowa State,1,3,9,0,0,0,.000,,,3.0,0.0,0.0,0.0,0.0,-.121,-16.9,0.0,2012
17,17,DAL,Tyler Zeller,UNC,8,414,7254,2873,1820,367,.508,.286,.764,17.5,6.9,4.4,0.9,17.1,.113,-2.0,0.0,2012
18,18,HOU,Terrence Jones,Kentucky,6,234,5562,2431,1334,238,.501,.297,.621,23.8,10.4,5.7,1.0,14.7,.127,0.5,3.6,2012
19,19,ORL,Andrew Nicholson,St. Bonaventure,5,285,4080,1700,857,126,.467,.321,.773,14.3,6.0,3.0,0.4,3.8,.045,-3.6,-1.6,2012
20,20,DEN,Evan Fournier,,12,704,19514,9607,1878,1759,.441,.374,.799,27.7,13.6,2.7,2.5,30.5,.075,-1.1,4.3,2012
21,21,BOS,Jared Sullinger,Ohio State,5,269,6532,2893,2006,477,.436,.272,.723,24.3,10.8,7.5,1.8,15.3,.113,-0.4,2.7,2012
22,22,BOS,Fab Melo,Syracuse,1,6,36,7,3,0,.500,,.250,6.0,1.2,0.5,0.0,0.0,.021,-7.6,-0.1,2012
23,23,ATL,John Jenkins,Vanderbilt,6,171,2183,855,250,138,.441,.367,.847,12.8,5.0,1.5,0.8,3.0,.065,-1.9,0.1,2012
24,24,CLE,Jared Cunningham,Oregon State,4,84,605,197,56,39,.347,.306,.674,7.2,2.3,0.7,0.5,0.2,.017,-5.7,-0.6,2012
25,25,MEM,Tony Wroten,Washington,4,145,3076,1604,363,437,.413,.231,.647,21.2,11.1,2.5,3.0,-1.3,-.021,-3.4,-1.1,2012
26,26,IND,Miles Plumlee,Duke,7,346,5658,1697,1562,178,.542,,.543,16.4,4.9,4.5,0.5,10.6,.090,-1.9,0.2,2012
27,27,MIA,Arnett Moultrie,Mississippi State,2,59,729,210,180,12,.547,,.667,12.4,3.6,3.1,0.2,1.7,.113,-2.8,-0.1,2012
28,28,OKC,Perry Jones,Baylor,3,143,1675,488,252,54,.420,.293,.660,11.7,3.4,1.8,0.4,1.7,.048,-3.5,-0.6,2012
29,29,CHI,Marquis Teague,Kentucky,3,91,909,217,90,134,.343,.222,.661,10.0,2.4,1.0,1.5,-0.9,-.045,-6.5,-1.0,2012
30,30,GSW,Festus Ezeli,Vanderbilt,3,170,2394,712,725,63,.513,,.557,14.1,4.2,4.3,0.4,5.9,.119,-2.0,0.0,2012
,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,2012
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,2012
31,31,CHA,Jeff Taylor,Vanderbilt,3,132,2566,807,263,107,.409,.319,.665,19.4,6.1,2.0,0.8,1.3,.024,-4.2,-1.5,2012
32,32,WAS,Tomáš Satoranský,,6,388,8617,2676,1117,1586,.468,.354,.820,22.2,6.9,2.9,4.1,17.9,.100,-0.9,2.4,2012
33,33,CLE,Bernard James,Florida State,3,92,761,203,212,13,.497,.000,.680,8.3,2.2,2.3,0.1,1.9,.117,-1.8,0.0,2012
34,34,CLE,Jae Crowder,Marquette,13,812,20161,7515,3391,1281,.418,.347,.777,24.8,9.3,4.2,1.6,43.0,.102,0.1,10.9,2012
35,35,GSW,Draymond Green,Michigan State,14,949,27151,8235,6462,5324,.447,.321,.710,28.6,8.7,6.8,5.6,66.3,.117,2.1,27.9,2012
36,36,SAC,Orlando Johnson,UC Santa Barbara,3,103,1112,329,180,69,.358,.311,.727,10.8,3.2,1.7,0.7,1.4,.059,-2.4,-0.1,2012
37,37,TOR,Quincy Acy,Baylor,7,337,5392,1642,1179,217,.444,.350,.759,16.0,4.9,3.5,0.6,8.7,.078,-2.0,-0.1,2012
38,38,DEN,Quincy Miller,Baylor,3,69,934,295,169,37,.350,.292,.706,13.5,4.3,2.4,0.5,-0.1,-.003,-3.9,-0.5,2012
39,39,DET,Khris Middleton,Texas A&M,14,839,25262,13541,3931,3242,.458,.385,.878,30.1,16.1,4.7,3.9,58.2,.111,0.5,15.7,2012
40,40,POR,Will Barton,Memphis,11,679,17116,7625,2792,1817,.430,.355,.787,25.2,11.2,4.1,2.7,26.5,.074,-0.4,6.9,2012
41,41,POR,Tyshawn Taylor,Kansas,2,61,491,174,33,57,.354,.360,.684,8.0,2.9,0.5,0.9,-0.9,-.088,-8.1,-0.8,2012
42,42,MIL,Doron Lamb,Kentucky,2,100,1272,345,95,75,.381,.394,.700,12.7,3.5,1.0,0.8,0.1,.005,-5.8,-1.2,2012
43,43,ATL,Mike Scott,Virginia,9,555,9182,3736,1727,499,.453,.362,.757,16.5,6.7,3.1,0.9,16.8,.088,-1.7,0.6,2012
44,44,DET,Kim English,Missouri,1,41,407,119,37,26,.375,.280,.724,9.9,2.9,0.9,0.6,0.2,.021,-4.2,-0.2,2012
45,45,PHI,Justin Hamilton,LSU,3,113,1961,687,403,91,.464,.309,.798,17.4,6.1,3.6,0.8,3.7,.091,-0.9,0.5,2012
46,46,NOH,Darius Miller,Kentucky,6,271,5358,1597,447,367,.419,.383,.840,19.8,5.9,1.6,1.4,6.5,.059,-2.3,-0.4,2012
47,47,UTA,Kevin Murphy,Tennessee Technological University,1,17,52,15,4,2,.250,.200,,3.1,0.9,0.2,0.1,-0.3,-.272,-16.8,-0.2,2012
48,48,NYK,Kostas Papanikolaou,,2,69,1089,249,158,101,.354,.297,.688,15.8,3.6,2.3,1.5,0.3,.015,-2.7,-0.2,2012
49,49,ORL,Kyle O'Quinn,Norfolk State,8,472,6714,2568,2166,643,.517,.218,.740,14.2,5.4,4.6,1.4,17.8,.128,0.9,5.0,2012
50,50,DEN,İzzet Türkyılmaz,,,,,,,,,,,,,,,,,,,2012
51,51,BOS,Kris Joseph,Syracuse,1,10,54,9,7,1,.143,.000,.625,5.4,0.9,0.7,0.1,-0.1,-.127,-9.9,-0.1,2012
52,52,GSW,Ognjen Kuzmić,,2,37,164,35,38,8,.520,,.600,4.4,0.9,1.0,0.2,0.2,.061,-5.6,-0.2,2012
53,53,LAC,Furkan Aldemir,,1,41,540,93,176,28,.513,.000,.481,13.2,2.3,4.3,0.7,1.4,.122,-3.6,-0.2,2012
54,54,PHI,Tornike Shengelia,,2,45,247,59,39,17,.451,.125,.500,5.5,1.3,0.9,0.4,-0.2,-.032,-7.0,-0.3,2012
55,55,DAL,Darius Johnson-Odom,Marquette,2,7,21,0,6,2,.000,.000,.000,3.0,0.0,0.9,0.3,-0.3,-.597,-25.5,-0.1,2012
56,56,TOR,Tomislav Zubčić,,,,,,,,,,,,,,,,,,,2012
57,57,NJN,İlkan Karaman,,,,,,,,,,,,,,,,,,,2012
58,58,MIN,Robbie Hummel,Purdue,2,98,1397,379,266,50,.418,.343,.867,14.3,3.9,2.7,0.5,1.9,.066,-3.1,-0.4,2012
59,59,SAS,Marcus Denmon,Missouri,,,,,,,,,,,,,,,,,,2012
60,60,LAL,Robert Sacre,Gonzaga,4,189,2745,787,593,126,.436,.000,.671,14.5,4.2,3.1,0.7,2.4,.042,-4.0,-1.4,2012
1,1,CLE,Anthony Bennett,UNLV,4,151,1905,658,472,77,.392,.261,.670,12.6,4.4,3.1,0.5,0.5,.013,-4.8,-1.3,2013
2,2,ORL,Victor Oladipo,Indiana,10,504,16247,8503,2245,1970,.436,.347,.788,32.2,16.9,4.5,3.9,25.6,.076,0.7,11.0,2013
3,3,WAS,Otto Porter Jr.,Georgetown,11,527,13400,5419,2599,783,.477,.397,.797,25.4,10.3,4.9,1.5,36.7,.132,1.7,12.5,2013
4,4,CHA,Cody Zeller,Indiana,11,552,11510,4376,3125,740,.520,.220,.727,20.9,7.9,5.7,1.3,33.5,.140,-0.7,3.9,2013
5,5,PHO,Alex Len,Maryland,12,690,11754,4608,3624,589,.510,.322,.678,17.0,6.7,5.3,0.9,23.9,.097,-1.9,0.3,2013
6,6,NOH,Nerlens Noel,Kentucky,9,467,10281,3338,2835,501,.546,.200,.655,22.0,7.1,6.1,1.1,28.3,.132,0.9,7.4,2013
7,7,SAC,Ben McLemore,Kansas,9,556,12534,5015,1269,563,.414,.363,.780,22.5,9.0,2.3,1.0,9.0,.035,-3.1,-3.4,2013
8,8,DET,Kentavious Caldwell-Pope,Georgia,13,963,28124,10600,2833,1791,.427,.365,.826,29.2,11.0,2.9,1.9,49.2,.084,-1.0,7.2,2013
9,9,MIN,Trey Burke,Michigan,9,498,10401,4792,878,1522,.410,.345,.810,20.9,9.6,1.8,3.1,12.9,.060,-1.3,1.7,2013
10,10,POR,CJ McCollum,Lehigh,13,863,27528,16838,3119,3298,.453,.395,.796,31.9,19.5,3.6,3.8,54.9,.096,1.1,21.5,2013
11,11,PHI,Michael Carter-Williams,Syracuse,9,395,9942,4040,1718,1708,.402,.256,.705,25.2,10.2,4.3,4.3,6.6,.032,-1.2,1.8,2013
12,12,OKC,Steven Adams,Pitt,12,796,20468,6930,6391,1193,.584,.059,.534,25.7,8.7,8.0,1.5,63.7,.149,0.5,12.9,2013
13,13,DAL,Kelly Olynyk,Gonzaga,13,842,18360,8272,4200,2024,.486,.369,.794,21.8,9.8,5.0,2.4,47.1,.123,0.8,13.1,2013
14,14,UTA,Shabazz Muhammad,UCLA,5,278,4772,2504,770,151,.473,.319,.751,17.2,9.0,2.8,0.5,8.5,.085,-2.0,0.0,2013
15,15,MIL,Giannis Antetokounmpo,,13,895,29273,21531,8882,4484,.554,.285,.691,32.7,24.1,9.9,5.0,125.8,.206,6.8,65.5,2013
16,16,BOS,Lucas Nogueira,,4,141,1754,446,388,72,.632,.265,.640,12.4,3.2,2.8,0.5,6.0,.165,2.3,1.9,2013
17,17,ATL,Dennis Schröder,,13,912,24721,12494,2624,4438,.430,.341,.836,27.1,13.7,2.9,4.9,34.2,.066,-1.5,2.9,2013
18,18,ATL,Shane Larkin,Miami (FL),4,256,4880,1399,490,737,.422,.336,.777,19.1,5.5,1.9,2.9,4.4,.044,-2.4,-0.6,2013
19,19,CLE,Sergey Karasev,,3,95,1110,287,140,87,.395,.282,.842,11.7,3.0,1.5,0.9,0.8,.036,-3.4,-0.4,2013
20,20,CHI,Tony Snell,New Mexico,9,601,13092,3672,1371,669,.431,.394,.846,21.8,6.1,2.3,1.1,18.5,.068,-2.0,-0.1,2013
21,21,UTA,Gorgui Dieng,Louisville,10,628,12625,4591,3534,837,.496,.355,.791,20.1,7.3,5.6,1.3,30.7,.117,0.2,7.1,2013
22,22,BRK,Mason Plumlee,Duke,13,880,18969,6949,5820,2065,.596,.039,.577,21.6,7.9,6.6,2.3,58.4,.148,1.2,15.2,2013
23,23,IND,Solomon Hill,Arizona,9,448,9652,2453,1399,662,.388,.331,.797,21.5,5.5,3.1,1.5,11.9,.059,-2.1,-0.3,2013
24,24,NYK,Tim Hardaway Jr.,Michigan,13,893,24389,12230,2544,1594,.419,.365,.815,27.3,13.7,2.8,1.8,38.2,.075,-1.2,5.2,2013
25,25,LAC,Reggie Bullock,UNC,11,556,12556,4039,1451,647,.424,.385,.827,22.6,7.3,2.6,1.2,21.4,.082,-1.2,2.6,2013
26,26,MIN,Andre Roberson,Colorado,7,307,6801,1382,1230,265,.473,.253,.468,22.2,4.5,4.0,0.9,12.6,.089,-0.6,2.3,2013
27,27,DEN,Rudy Gobert,,13,905,27811,11287,10572,1251,.658,.000,.633,30.7,12.5,11.7,1.4,124.9,.216,3.1,35.8,2013
28,28,SAS,Livio Jean-Charles,,,,,,,,,,,,,,,,,,,2013
29,29,OKC,Archie Goodwin,Kentucky,4,165,2396,1040,331,206,.429,.236,.700,14.5,6.3,2.0,1.2,1.1,.022,-3.0,-0.6,2013
30,30,PHO,Nemanja Nedović,,1,24,142,26,15,13,.205,.167,.875,5.9,1.1,0.6,0.5,-0.4,-.132,-10.0,-0.3,2013
,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,2013
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,2013
31,31,CLE,Allen Crabbe,California,7,381,9125,3453,1073,434,.425,.387,.831,24.0,9.1,2.8,1.1,13.7,.072,-1.6,0.9,2013
32,32,OKC,Álex Abrines,,3,174,2777,924,248,88,.387,.368,.880,16.0,5.3,1.4,0.5,5.0,.086,-1.9,0.1,2013
33,33,CLE,Carrick Felix,Arizona State,1,7,38,19,6,4,.500,.400,.750,5.4,2.7,0.9,0.6,0.0,.057,-3.4,0.0,2013
34,34,HOU,Isaiah Canaan,Murray State,6,235,4799,1913,438,454,.371,.351,.836,20.4,8.1,1.9,1.9,4.3,.043,-2.4,-0.5,2013
35,35,PHI,Glen Rice Jr.,Georgia Tech,2,16,152,43,24,9,.269,.250,.692,9.5,2.7,1.5,0.6,-0.2,-.065,-6.6,-0.2,2013
36,36,SAC,Ray McCallum,Detroit Mercy,3,154,2808,920,306,368,.408,.335,.711,18.2,6.0,2.0,2.4,2.1,.035,-2.6,-0.4,2013
37,37,DET,Tony Mitchell,University of North Texas,1,21,79,22,26,2,.417,1.000,.579,3.8,1.0,1.2,0.1,0.2,.151,0.4,0.0,2013
38,38,WAS,Nate Wolters,South Dakota State,3,84,1575,461,185,209,.423,.261,.635,18.8,5.5,2.2,2.5,0.9,.028,-2.6,-0.2,2013
39,39,POR,Jeff Withey,Kansas,5,207,2072,666,518,64,.525,.143,.716,10.0,3.2,2.5,0.3,6.8,.157,0.5,1.3,2013
40,40,POR,Grant Jerrett,Arizona,1,8,51,16,9,3,.269,.067,1.000,6.4,2.0,1.1,0.4,-0.1,-.128,-10.8,-0.1,2013
41,41,MEM,Jamaal Franklin,San Diego State,2,24,174,42,25,9,.415,.462,1.000,7.3,1.8,1.0,0.4,0.0,-.006,-5.9,-0.2,2013
42,42,PHI,Pierre Jackson,Baylor,1,8,84,35,9,19,.333,.273,.857,10.5,4.4,1.1,2.4,0.0,.021,-4.4,-0.1,2013
43,43,MIL,Ricky Ledo,Providence,2,28,277,109,38,21,.336,.371,.769,9.9,3.9,1.4,0.8,-0.6,-.096,-7.6,-0.4,2013
44,44,DAL,Mike Muscala,Bucknell,11,548,8239,3206,1699,464,.451,.373,.830,15.0,5.9,3.1,0.8,19.2,.112,-0.2,3.7,2013
45,45,POR,Marko Todorović,,,,,,,,,,,,,,,,,,,2013
46,46,UTA,Erick Green,Virginia Tech,2,52,452,159,37,42,.377,.288,.857,8.7,3.1,0.7,0.8,0.1,.011,-4.0,-0.2,2013
47,47,ATL,Raul Neto,,8,435,6765,2470,658,913,.458,.361,.812,15.6,5.7,1.5,2.1,11.6,.082,-1.5,0.8,2013
48,48,LAL,Ryan Kelly,Duke,4,163,3125,981,504,215,.378,.316,.797,19.2,6.0,3.1,1.3,3.0,.046,-2.6,-0.5,2013
49,49,CHI,Erik Murphy,Florida,1,24,62,6,8,2,.231,.000,,2.6,0.3,0.3,0.1,-0.1,-.055,-8.6,-0.1,2013
50,50,ATL,James Ennis III,Cal State Long Beach,8,395,8022,2629,1306,373,.457,.360,.797,20.3,6.7,3.3,0.9,16.2,.097,-1.5,0.9,2013
51,51,ORL,Romero Osby,Oklahoma,,,,,,,,,,,,,,,,,,2013
52,52,MIN,Lorenzo Brown,NC State,5,103,1185,293,151,183,.364,.170,.707,11.5,2.8,1.5,1.8,-0.2,-.007,-3.5,-0.5,2013
53,53,IND,Colton Iverson,Colorado State,,,,,,,,,,,,,,,,,,2013
54,54,WAS,Arsalan Kazemi,Oregon,,,,,,,,,,,,,,,,,,2013
55,55,MEM,Joffrey Lauvergne,,4,208,2823,1159,789,180,.479,.285,.719,13.6,5.6,3.8,0.9,5.2,.089,-2.1,-0.1,2013
56,56,DET,Peyton Siva,Louisville,1,24,224,54,14,34,.316,.280,.733,9.3,2.3,0.6,1.4,-0.2,-.032,-6.4,-0.2,2013
57,57,PHO,Alex Oriakhi,Missouri,,,,,,,,,,,,,,,,,,2013
58,58,SAS,Deshaun Thomas,Ohio State,,,,,,,,,,,,,,,,,,2013
59,59,MIN,Bojan Dubljević,,,,,,,,,,,,,,,,,,,2013
60,60,MEM,Jānis Timma,,,,,,,,,,,,,,,,,,,2013
1,1,CLE,Andrew Wiggins,Kansas,12,834,27951,15214,3754,1937,.451,.362,.728,33.5,18.2,4.5,2.3,37.6,.065,-1.2,5.8,2014
2,2,MIL,Jabari Parker,Duke,8,310,8535,4380,1703,610,.494,.326,.743,27.5,14.1,5.5,2.0,13.8,.078,-0.8,2.5,2014
3,3,PHI,Joel Embiid,Kansas,10,490,15608,13544,5280,1808,.500,.339,.830,31.9,27.6,10.8,3.7,69.0,.212,6.7,34.3,2014
4,4,ORL,Aaron Gordon,Arizona,12,756,22081,10339,4683,2035,.485,.335,.698,29.2,13.7,6.2,2.7,50.1,.109,0.4,13.4,2014
5,5,UTA,Danté Exum,,8,320,6005,1991,623,728,.435,.343,.765,18.8,6.2,1.9,2.3,6.6,.053,-2.8,-1.2,2014
6,6,BOS,Marcus Smart,Oklahoma State,12,697,20495,7314,2355,3080,.389,.324,.779,29.4,10.5,3.4,4.4,36.2,.085,-0.5,7.6,2014
7,7,LAL,Julius Randle,Kentucky,12,789,25348,15184,7023,3108,.472,.332,.759,32.1,19.2,8.9,3.9,56.9,.108,1.0,19.4,2014
8,8,SAC,Nik Stauskas,Michigan,6,343,6701,2290,691,515,.389,.354,.812,19.5,6.7,2.0,1.5,3.9,.028,-3.0,-1.7,2014
9,9,CHO,Noah Vonleh,Indiana,8,362,5854,1685,1790,264,.459,.307,.692,16.2,4.7,4.9,0.7,9.4,.077,-2.5,-0.7,2014
10,10,PHI,Elfrid Payton,Louisiana,9,524,13894,5121,2086,3034,.444,.286,.623,26.5,9.8,4.0,5.8,15.1,.052,-1.1,3.1,2014
11,11,DEN,Doug McDermott,Creighton,12,726,14011,6162,1493,686,.468,.410,.806,19.3,8.5,2.1,0.9,21.7,.074,-2.2,-0.7,2014
12,12,ORL,Dario Šarić,,9,498,11120,5118,2632,942,.443,.360,.838,22.3,10.3,5.3,1.9,20.8,.090,-0.8,3.4,2014
13,13,MIN,Zach LaVine,UCLA,12,693,22685,14338,2773,2684,.470,.391,.835,32.7,20.7,4.0,3.9,38.6,.082,0.6,14.6,2014
14,14,PHO,T.J. Warren,NC State,9,385,10365,5497,1515,446,.505,.351,.780,26.9,14.3,3.9,1.2,20.9,.097,-0.4,4.1,2014
15,15,ATL,Adreian Payne,Michigan State,4,107,1403,429,315,66,.406,.254,.680,13.1,4.0,2.9,0.6,-0.6,-.019,-5.9,-1.4,2014
16,16,CHI,Jusuf Nurkić,,12,631,15430,7438,5644,1664,.502,.294,.661,24.5,11.8,8.9,2.6,34.7,.108,0.4,9.5,2014
17,17,BOS,James Young,Kentucky,4,95,812,219,96,28,.367,.277,.563,8.5,2.3,1.0,0.3,0.8,.046,-3.4,-0.3,2014
18,18,PHO,Tyler Ennis,Syracuse,4,186,2336,779,250,359,.419,.317,.768,12.6,4.2,1.3,1.9,1.3,.026,-3.4,-0.8,2014
19,19,CHI,Gary Harris,Michigan State,12,666,17326,6568,1476,1192,.446,.370,.810,26.0,9.9,2.2,1.8,27.5,.076,-1.4,2.6,2014
20,20,TOR,Bruno Caboclo,,7,105,1293,442,268,72,.403,.308,.836,12.3,4.2,2.6,0.7,1.5,.054,-2.7,-0.2,2014
21,21,OKC,Mitch McGary,Michigan,2,52,557,227,183,17,.527,.000,.580,10.7,4.4,3.5,0.3,1.3,.108,-2.6,-0.1,2014
22,22,MEM,Jordan Adams,UCLA,2,32,263,101,30,19,.402,.385,.607,8.2,3.2,0.9,0.6,0.4,.070,1.7,0.2,2014
23,23,UTA,Rodney Hood,Duke,8,448,10977,4656,1160,736,.420,.366,.841,24.5,10.4,2.6,1.6,17.4,.076,-1.2,2.2,2014
24,24,CHO,Shabazz Napier,UConn,6,345,5986,2433,657,849,.397,.345,.815,17.4,7.1,1.9,2.5,8.1,.065,-0.7,2.0,2014
25,25,HOU,Clint Capela,,12,739,18329,8236,7330,726,.613,.125,.546,24.8,11.1,9.9,1.0,72.6,.190,1.6,16.5,2014
26,26,MIA,P.J. Hairston,UNC,2,111,2000,664,266,59,.343,.295,.810,18.0,6.0,2.4,0.5,0.9,.021,-3.9,-1.0,2014
27,27,PHO,Bogdan Bogdanović,,9,526,14750,7344,1738,1667,.436,.381,.845,28.0,14.0,3.3,3.2,25.0,.081,0.1,7.7,2014
28,28,LAC,C.J. Wilcox,Washington,3,66,376,132,31,30,.370,.333,.813,5.7,2.0,0.5,0.5,0.1,.007,-4.3,-0.2,2014
29,29,OKC,Josh Huestis,Stanford,3,76,1068,187,180,23,.346,.312,.240,14.1,2.5,2.4,0.3,0.7,.030,-3.5,-0.4,2014
30,30,SAS,Kyle Anderson,UCLA,12,757,16177,5142,3217,2104,.480,.340,.715,21.4,6.8,4.2,2.8,41.3,.122,1.7,15.1,2014
,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,2014
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,2014
31,31,MIL,Damien Inglis,,1,20,156,36,31,10,.351,.231,.875,7.8,1.8,1.6,0.5,-0.1,-.024,-5.6,-0.1,2014
32,32,PHI,K.J. McDaniels,Clemson,3,148,2092,782,324,95,.412,.290,.776,14.1,5.3,2.2,0.6,1.3,.030,-2.8,-0.4,2014
33,33,CLE,Joe Harris,Virginia,10,504,12298,5185,1521,790,.479,.436,.771,24.4,10.3,3.0,1.6,23.1,.090,-0.7,4.1,2014
